季別,營業收入,營業成本,營業毛利,毛利率,營業利益,營益率,業外收支,稅前淨利,稅後淨利,EPS
114.3Q,18413,12290,6123,33.25,3597,19.54,-131,3467,2629,13.51
114.2Q,16933,11664,5269,31.12,2867,16.93,-141,2726,2024,10.54
114.1Q,16121,11224,4897,30.38,2360,14.64,-90,2270,1612,8.49
113.4Q,14412,10264,4148,28.78,1989,13.8,104,2093,1556,8.99
113.3Q,14259,10077,4182,29.33,1992,13.97,-179,1813,1257,7.07
113.2Q,12984,9334,3650,28.11,1483,11.42,1,1484,1002,6.13
113.1Q,12426,9153,3273,26.34,1101,8.86,-173,928,581,3.56
112.4Q,12196,9205,2991,24.52,865,7.09,-118,747,508,3.15
112.3Q,13150,9641,3510,26.69,1414,10.75,-317,1097,741,4.54
112.2Q,13004,10154,2850,21.92,821,6.32,-94,728,441,2.75
112.1Q,12702,9465,3236,25.48,1137,8.96,-267,870,628,4.01
111.4Q,13601,10028,3572,26.27,1449,10.65,-208,1241,922,6.01
111.3Q,14526,10786,3741,25.75,1558,10.73,23,1582,1184,7.64
111.2Q,13963,10310,3653,26.16,1683,12.06,-16,1667,1209,7.92
111.1Q,11667,8846,2822,24.18,856,7.34,-53,803,523,3.5
110.4Q,7999,6156,1843,23.04,769,9.62,-24,745,569,4.25
110.3Q,7415,5661,1754,23.66,731,9.86,27,758,606,4.54
110.2Q,7016,5345,1671,23.81,755,10.76,-48,707,551,4.13
110.1Q,6134,4773,1362,22.2,403,6.56,29,432,310,2.35
109.4Q,6267,4716,1551,24.75,723,11.53,-77,645,587,4.5
